name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br
f-100d,448.0,69.11,1.37,1.05,2.23,1.71,2844.0,53.88,0.67,0.67,0.39,0.4,242.0,35.81,4.36,2.73,0.59,0.39,F-100D,F-100D,USA,Aviation,9.7,10.0,9.7
mig-19pt,760.0,54.5,2.21,2.42,0.08,0.08,5195.0,57.0,1.03,1.28,0.09,0.1,151.0,54.94,6.07,7.92,,,MiG-19PT,MiG-19PT,USSR,Aviation,10.3,10.3,10.3
javelin_fmk9,152.0,53.76,2.61,1.21,,,523.0,66.97,2.25,2.34,0.07,0.1,65.0,100.0,5.0,5.0,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Britain,Aviation,8.7,8.7,8.7
f-86k_late,618.0,68.71,2.66,2.62,0.25,0.25,1561.0,68.89,2.0,3.4,0.07,0.14,13.0,100.0,5.5,5.0,,,F-86K,F-86K_(France),France,Aviation,9.0,9.0,9.3
hunter_f6,306.0,57.18,3.41,1.97,1.3,0.67,3206.0,63.28,1.75,2.45,0.2,0.3,175.0,43.89,10.68,6.36,0.36,0.21,Hunter_F.6,Hunter_F.6,Britain,Aviation,10.0,10.0,9.7
md_450b_barougan,136.0,51.11,0.21,0.19,2.2,1.15,501.0,64.54,0.54,0.59,0.99,1.12,82.0,100.0,5.75,2.61,2.75,1.33,M.D.450B_Barougan,M.D.450B_Barougan,France,Aviation,7.7,7.7,7.7
me-262c-2b,125.0,53.44,3.9,4.2,0.25,0.34,540.0,74.85,2.6,4.5,0.19,0.36,65.0,50.0,2.29,2.42,0.5,0.62,Me_262_C-2b,Me_262_C-2b,Germany,Aviation,8.0,8.0,8.0
mig-15bis_ish,68.0,50.0,2.83,2.07,2.33,2.1,1601.0,57.6,0.66,0.7,0.54,0.58,,,,,,,MiG-15bis_ISH,MiG-15bis_ISH,USSR,Aviation,8.7,8.7,9.0
f-86f-35,162.0,34.95,3.58,1.23,0.78,0.37,3102.0,54.09,0.59,0.61,0.37,0.38,,,,,,,F-86F-35,F-86F-35,USA,Aviation,8.3,9.0,9.0
meteor_fmk8_reaper,196.0,61.46,1.41,1.75,3.81,4.56,2583.0,66.39,0.31,0.34,1.04,1.13,239.0,72.58,0.78,0.33,1.01,0.51,Meteor_F_Mk.8_Reaper,Meteor_F_Mk.8_Reaper,Britain,Aviation,8.0,8.0,8.0
