name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,cls,nation,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
etndard_4m,26.0,100.0,0.54,0.54,2.08,2.08,546.0,63.51,1.51,1.92,0.3,0.4,,,,,,,Etendard_IVM,Etendard_IVM,Aviation,France,9.3,9.3,9.3,4071.0,8277.0,13434.0,False,220,150,220,300,220,470
f-100d,502.0,85.32,0.83,0.69,3.67,3.0,1871.0,48.29,0.57,0.64,0.29,0.31,176.0,100.0,8.37,5.65,0.85,0.56,F-100D,F-100D,Aviation,USA,9.7,10.0,9.7,3048.0,9577.0,16457.0,False,226,140,226,240,226,380
mig-19pt,439.0,61.93,2.92,3.28,0.26,0.29,2386.0,55.68,0.85,1.14,0.01,0.02,43.0,22.5,0.93,2.16,,,MiG-19PT,MiG-19PT,Aviation,USSR,10.3,10.3,10.3,8064.0,11155.0,24192.0,False,226,150,226,280,226,530
javelin_fmk9,80.0,94.62,1.24,0.75,0.17,0.08,671.0,52.06,0.94,1.24,,0.01,35.0,100.0,6.5,1.89,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Aviation,Britain,8.7,8.7,8.7,3677.0,7585.0,10041.0,False,226,130,226,280,226,340
f-86k_late,137.0,36.2,3.8,2.58,1.66,0.76,405.0,64.18,1.75,2.67,0.06,0.08,44.0,100.0,2.92,3.1,,,F-86K,F-86K_(France),Aviation,France,9.0,9.3,9.3,5935.0,20234.0,26979.0,False,214,140,214,350,214,440
hunter_f6,103.0,92.9,2.74,1.81,1.76,1.18,2681.0,63.77,1.72,2.47,0.38,0.55,45.0,100.0,14.0,11.38,0.89,0.81,Hunter_F.6,Hunter_F.6,Aviation,Britain,10.0,10.0,9.7,3962.0,17641.0,18998.0,False,226,140,226,270,226,470
md_450b_barougan,47.0,33.33,0.7,0.81,,0.19,800.0,61.4,0.5,0.64,0.86,1.12,12.0,,,,,,M.D.450B_Barougan,M.D.450B_Barougan,Aviation,France,7.7,7.7,7.7,3211.0,9098.0,6944.0,False,202,110,202,220,202,280
me-262c-2b,133.0,69.1,2.79,3.46,0.2,0.26,364.0,67.47,2.05,3.69,0.31,0.42,16.0,,,1.0,,,Me_262_C-2b,Me_262_C-2b,Aviation,Germany,8.0,8.0,8.0,4111.0,17431.0,7969.0,False,208,110,208,330,208,300
mig-15bis_ish,80.0,97.41,1.13,0.76,3.69,2.76,1291.0,54.79,0.66,0.84,0.4,0.51,25.0,,,,,,MiG-15bis_ISH,MiG-15bis_ISH,Aviation,USSR,8.7,8.7,9.0,1300.0,2100.0,1300.0,True,416,200,416,440,416,460
f-86f-35,50.0,50.0,0.63,0.67,1.03,1.11,2771.0,53.19,0.64,0.67,0.39,0.41,1.0,,,,,,F-86F-35,F-86F-35,Aviation,USA,8.0,8.7,9.0,1300.0,2400.0,1700.0,True,464,200,464,440,464,520
meteor_fmk8_reaper,106.0,51.72,0.54,0.52,3.03,2.85,1716.0,60.42,0.37,0.36,1.14,1.16,122.0,100.0,3.57,1.15,,0.05,Meteor_F_Mk.8_Reaper,Meteor_F_Mk.8_Reaper,Aviation,Britain,8.0,8.0,8.0,1430.0,2550.0,5600.0,True,428,200,428,440,428,440
