nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death
France,Aviation,2022-01-31,1.0 ~ 11.3,1.0,28794.0,1058.8583190281045,62.885112176147814,1.0918788636521497,1.328041605890116,1.635345905396958,1.7234239772174758
France,Aviation,2022-01-28,1.0 ~ 11.3,1.0,28922.0,1073.1042927446895,62.367893644976135,1.0952700366503008,1.3225731277228407,1.6747005739575411,1.7690221976350182
France,Aviation,2022-01-25,1.0 ~ 11.3,1.0,28841.0,1068.5502536897702,62.026588190423354,1.1003026940813427,1.309545438785063,1.713236364897195,1.8146368017752508
France,Aviation,2022-01-22,1.0 ~ 11.3,1.0,28414.0,1047.663586025668,61.6810494826494,1.1028193848103047,1.307197156331386,1.772706060392764,1.8768944886323644
France,Aviation,2022-01-19,1.0 ~ 11.3,1.0,27509.0,1000.8164081365578,61.55061543494856,1.1052524628303464,1.3024890035988221,1.829135192118943,1.933919808062816
France,Aviation,2022-01-16,1.0 ~ 11.3,1.0,26620.0,945.9052893456407,61.89963861758076,1.1180649887302778,1.300038317054846,1.8914079639368895,1.9940507137490606
France,Aviation,2022-01-13,1.0 ~ 11.3,1.0,25730.0,884.972473951104,62.09499805674311,1.116624174115818,1.2891884959191606,1.9435161290322582,2.043799067236689
France,Aviation,2022-01-10,1.0 ~ 11.3,1.0,24797.0,825.6274943013459,62.21978949066419,1.1139851594951002,1.2787272653950075,1.9800754123482678,2.083886760495221
France,Aviation,2022-01-07,1.0 ~ 11.3,1.0,24097.0,776.0196812683657,62.3148715607752,1.105440096277545,1.2635050006224842,2.0037527493048928,2.1159530231979082
France,Aviation,2022-01-04,1.0 ~ 11.3,1.0,23477.0,734.6595885131751,62.47474549559143,1.1002828300038334,1.2569872641308515,2.0330557566980447,2.1454351067001745
France,Aviation,2022-01-01,1.0 ~ 11.3,1.0,23113.0,706.2639449454336,62.50001384502228,1.0758750486739064,1.2343767576688442,2.0618344654523426,2.166343616146757
France,Aviation,2021-12-29,1.0 ~ 11.3,1.0,22795.0,679.479933464941,62.657900855450755,1.047477078306646,1.2130835709585437,2.087359508664181,2.1794766396139504
France,Aviation,2021-12-26,1.0 ~ 11.3,1.0,22588.0,661.8650869193082,63.097807685496726,1.027577917478307,1.207306977156012,2.1127612006375065,2.1991858508942803
France,Aviation,2021-12-23,1.0 ~ 11.3,1.0,22593.0,654.3718853079231,63.20914929402913,1.0160704643031027,1.217496127119019,2.1160589563139025,2.2175673881290665
France,Aviation,2021-12-20,1.0 ~ 11.3,1.0,23017.0,664.0539865978976,63.43912629795369,1.0158982491202155,1.2203749402615458,2.12490072555068,2.227581352913064
France,Aviation,2021-12-17,1.0 ~ 11.3,1.0,23476.0,677.6514870303207,63.54123360027262,1.02347631623786,1.2258417106832509,2.1319236667234622,2.225955443857557
France,Aviation,2021-12-14,1.0 ~ 11.3,1.0,24401.0,867.8256382935125,63.74440227859514,1.0342149911888856,1.2382099094299415,2.124930125814516,2.216401376992746
France,Aviation,2021-12-11,1.0 ~ 11.3,1.0,25159.0,909.8128290737576,64.00355379784571,1.0522035851981397,1.2424253746174332,2.137959378353671,2.2098104058189914
France,Aviation,2021-12-08,1.0 ~ 11.3,1.0,26164.0,961.5891988992508,64.7073024002446,1.0887012689191256,1.2569136982112827,2.1740334046781835,2.207755694847883
France,Aviation,2021-12-05,1.0 ~ 11.3,1.0,27447.0,1025.7107407002586,65.36776296134369,1.1221230006922431,1.2635125878966735,2.1977786279010454,2.2015324079134335
France,Aviation,2021-11-30,1.0 ~ 11.3,1.0,29559.0,1144.7541267746992,66.44767448154538,1.1512148584187556,1.2918559491187116,2.206703542068406,2.1972519368043573
France,Aviation,2021-11-27,1.0 ~ 11.3,1.0,30924.0,1222.1197074548354,67.22857004268529,1.1697425947484157,1.304109106195835,2.200182705988876,2.1921640150045274
France,Aviation,2021-11-24,1.0 ~ 11.3,1.0,31884.0,1284.2042759168653,67.99401925730774,1.1776605821101493,1.2991854848826998,2.1973720361309743,2.180884456153557
France,Aviation,2021-11-21,1.0 ~ 11.3,1.0,32867.0,1334.6624263445603,68.62685702984757,1.1907722031216723,1.2991599476678735,2.207513006967475,2.184475918094137
