nation,cls,date,sb_br,sb_lower_br,sb_battles_sum,sb_battles_mean,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death
France,Aviation,2023-09-11,1.0 ~ 12.0,1.0,563.0,75.2029899348727,7.551865008880995,1.267992895204263,2.394991119005329,0.41854351687388985,0.218348134991119
France,Aviation,2023-09-08,1.0 ~ 12.0,1.0,572.0,86.32284382284382,7.859527972027972,1.307097902097902,2.379947552447552,0.4230419580419581,0.27534965034965037
France,Aviation,2023-09-05,1.0 ~ 12.0,1.0,585.0,97.31908831908831,8.22102564102564,1.3530256410256412,2.3645811965811965,0.42830769230769233,0.3751111111111111
France,Aviation,2023-09-02,1.0 ~ 12.0,1.0,595.0,106.50624649859944,11.39290756302521,1.3480672268907563,2.329260504201681,0.5039663865546219,0.42512605042016804
France,Aviation,2023-08-30,1.0 ~ 12.0,1.0,618.0,115.63193096008631,12.517281553398059,1.351844660194175,2.3348058252427184,0.4877022653721684,0.44336569579288027
France,Aviation,2023-08-27,1.0 ~ 12.0,1.0,651.0,127.67890424987199,13.14221198156682,1.4062980030721968,2.245284178187404,0.44141321044546844,0.4076804915514593
France,Aviation,2023-08-24,1.0 ~ 12.0,1.0,682.0,131.6648826979472,18.303079178885632,1.3145894428152491,2.2982991202346037,0.5388123167155425,0.38596774193548383
France,Aviation,2023-08-21,1.0 ~ 12.0,1.0,712.0,130.8016619850187,18.143455056179775,1.2418960674157304,2.248314606741573,0.50311797752809,0.36313202247191007
France,Aviation,2023-08-18,1.0 ~ 12.0,1.0,728.0,124.47795329670328,17.822802197802197,1.1038186813186812,2.204478021978022,0.4521428571428571,0.35568681318681317
France,Aviation,2023-08-15,1.0 ~ 12.0,1.0,730.0,116.30118721461187,17.575342465753426,0.9891506849315069,2.2043150684931505,0.43205479452054796,0.34115068493150685
France,Aviation,2023-08-12,1.0 ~ 12.0,1.0,746.0,105.56907953529938,16.0656836461126,0.8859249329758714,2.1753887399463805,0.3891152815013405,0.3215549597855228
France,Aviation,2023-08-09,1.0 ~ 12.0,1.0,755.0,101.82543046357617,15.357615894039736,0.8373774834437087,2.1566490066225166,0.3698543046357616,0.31017218543046354
France,Aviation,2023-08-06,1.0 ~ 12.0,1.0,784.0,100.76673044217688,14.011479591836734,0.7379591836734695,1.9919260204081635,0.33387755102040817,0.22727040816326533
France,Aviation,2023-08-03,1.0 ~ 12.0,1.0,805.0,103.86670807453416,12.836298136645963,0.6858136645962732,1.9290931677018635,0.28159006211180126,0.19196273291925467
France,Aviation,2023-07-31,1.0 ~ 12.0,1.0,803.0,101.84707347447073,42.939900373599,4.477048567870486,1.892963885429639,0.21895392278953923,0.16662515566625155
France,Aviation,2023-07-28,1.0 ~ 12.0,1.0,788.0,101.24593908629441,44.796954314720814,4.4698730964467,1.8928426395939086,0.18631979695431472,0.14576142131979694
France,Aviation,2023-07-25,1.0 ~ 12.0,1.0,772.0,101.23449913644214,43.91191709844559,4.333419689119171,1.900945595854922,0.11088082901554404,0.12810880829015545
France,Aviation,2023-07-22,1.0 ~ 12.0,1.0,729.0,96.83875171467764,45.953360768175585,4.571179698216736,1.9434705075445815,0.10150891632373114,0.11023319615912208
France,Aviation,2023-07-19,1.0 ~ 12.0,1.0,687.0,92.17122755943717,47.307132459970894,4.699141193595342,1.9320378457059681,0.10771470160116449,0.09094614264919942
France,Aviation,2023-07-16,1.0 ~ 12.0,1.0,655.0,86.81768447837149,46.7175572519084,4.626015267175572,1.9370229007633586,0.11297709923664122,0.07030534351145037
France,Aviation,2023-07-13,1.0 ~ 12.0,1.0,629.0,82.01756756756757,45.786963434022255,4.382384737678856,1.9086804451510333,0.11446740858505565,0.04782193958664547
France,Aviation,2023-07-10,1.0 ~ 12.0,1.0,597.0,74.96300949190396,45.39363484087102,4.124790619765494,1.9537688442211056,0.11055276381909548,0.038877721943048574
France,Aviation,2023-07-07,1.0 ~ 12.0,1.0,553.0,67.22914406268838,45.93128390596745,4.08363471971067,2.0021518987341773,0.10488245931283906,0.030904159132007232
France,Aviation,2023-07-04,1.0 ~ 12.0,1.0,523.0,55.01631612492034,54.06309751434034,4.008508604206502,2.004034416826004,0.10325047801147227,0.038432122370936905
France,Aviation,2023-07-01,1.0 ~ 12.0,1.0,520.0,48.41,52.30769230769231,3.711230769230769,1.9949807692307695,0.11153846153846154,0.052076923076923076
France,Aviation,2023-06-28,1.0 ~ 12.0,1.0,533.0,46.81322701688555,52.532833020637895,3.5237523452157595,1.9180300187617259,0.11632270168855535,0.061350844277673545
France,Aviation,2023-06-25,1.0 ~ 12.0,1.0,549.0,44.87572209211554,54.09836065573771,3.3287795992714027,1.8279234972677594,0.12386156648451731,0.0740255009107468
France,Aviation,2023-06-22,1.0 ~ 12.0,1.0,620.0,47.85291858678955,57.258064516129025,3.074306451612903,1.7078387096774195,0.14361290322580644,0.08230645161290323
France,Aviation,2023-06-18,1.0 ~ 12.0,1.0,687.0,52.25320926041451,58.51528384279476,3.15665211062591,1.7118486171761282,0.11729257641921398,0.08177583697234352
France,Aviation,2023-06-13,1.0 ~ 12.0,1.0,827.0,63.48143029884263,72.67230955259976,4.690399032648126,1.7141475211608224,0.0907738814993954,0.07964933494558646
France,Aviation,2023-06-10,1.0 ~ 12.0,1.0,885.0,68.69847726661287,73.89830508474577,5.303175141242938,1.744282485875706,0.08555932203389831,0.07457627118644068
France,Aviation,2023-06-07,1.0 ~ 12.0,1.0,946.0,73.5715644820296,74.20718816067654,5.811321353065539,1.8860359408033824,0.08062367864693445,0.06988372093023255
France,Aviation,2023-06-04,1.0 ~ 12.0,1.0,975.0,75.06231013431014,74.35897435897436,6.493682051282051,1.938728205128205,0.06994871794871795,0.06837948717948718
France,Aviation,2023-06-01,1.0 ~ 12.0,1.0,996.0,75.83317555938038,64.2570281124498,5.410963855421686,1.9003112449799198,0.059849397590361446,0.0648293172690763
France,Aviation,2023-05-29,1.0 ~ 12.0,1.0,997.0,75.0858910063524,64.39317953861584,5.349087261785356,1.9186359077231694,0.05476429287863591,0.0637913741223671
France,Aviation,2023-05-26,1.0 ~ 12.0,1.0,982.0,72.8223402191834,64.66395112016295,5.33918533604888,1.939409368635438,0.04577393075356416,0.06821792260692465
France,Aviation,2023-05-23,1.0 ~ 12.0,1.0,925.0,68.07800514800515,64.64864864864865,5.451232432432432,1.9259783783783784,0.020540540540540542,0.06530810810810811
France,Aviation,2023-05-20,1.0 ~ 12.0,1.0,815.0,60.430093485246864,64.5398773006135,5.557116564417178,1.9526625766871164,0.008588957055214725,0.06597546012269939
France,Aviation,2023-05-17,1.0 ~ 12.0,1.0,745.0,55.78130073505912,64.69798657718121,5.668577181208054,1.9646979865771814,0.006711409395973154,0.06900671140939597
France,Aviation,2023-05-13,1.0 ~ 12.0,1.0,605.0,46.04450609996064,64.95867768595042,5.692876033057852,1.9822809917355373,0.0,0.07933884297520662
France,Aviation,2023-05-10,1.0 ~ 12.0,1.0,561.0,43.11334351922588,39.92869875222817,4.625793226381462,1.896131907308378,0.0,0.09716577540106952
France,Aviation,2023-05-07,1.0 ~ 12.0,1.0,519.0,41.17758509955041,42.96724470134875,4.456647398843931,1.4423699421965317,0.08863198458574181,0.12285163776493256
France,Aviation,2023-05-03,1.0 ~ 12.0,1.0,486.0,39.1214040760337,43.4156378600823,3.920514403292181,1.3162139917695475,0.15471193415637863,0.16123456790123455
France,Aviation,2023-04-29,1.0 ~ 12.0,1.0,453.0,28.753734363502574,32.00883002207506,2.6420971302428256,1.3606401766004415,0.1791832229580574,0.25022075055187637
France,Aviation,2023-04-26,1.0 ~ 12.0,1.0,443.0,27.424153498871334,36.11738148984199,2.1053498871331833,1.4577200902934537,0.16968397291196388,0.29853273137697517
France,Aviation,2023-04-23,1.0 ~ 12.0,1.0,456.0,27.204184941520467,41.666666666666664,1.9494078947368423,1.5044736842105264,0.2838377192982455,0.33826754385964913
France,Aviation,2023-04-20,1.0 ~ 12.0,1.0,688.0,36.47090600775194,63.88081395348837,3.948313953488372,1.5525726744186046,0.5722383720930233,0.41475290697674416
France,Aviation,2023-04-17,1.0 ~ 12.0,1.0,688.0,36.47090600775194,63.88081395348837,3.948313953488372,1.5525726744186046,0.5722383720930233,0.41475290697674416
France,Aviation,2023-04-14,1.0 ~ 12.0,1.0,688.0,36.47090600775194,63.88081395348837,3.948313953488372,1.5525726744186046,0.5722383720930233,0.41475290697674416
France,Aviation,2023-04-10,1.0 ~ 12.0,1.0,723.0,37.49416781927155,67.21991701244814,4.3965698478561555,1.5571230982019364,0.6472752420470262,0.43928077455048414
France,Aviation,2023-04-07,1.0 ~ 12.0,1.0,785.0,40.42174097664543,71.40127388535032,4.482700636942675,1.5580764331210193,0.742140127388535,0.4596305732484076
France,Aviation,2023-04-04,1.0 ~ 12.0,1.0,826.0,42.648446327683615,72.76029055690073,4.504927360774818,1.5461985472154964,0.7483535108958839,0.46499999999999997
France,Aviation,2023-03-30,1.0 ~ 12.0,1.0,941.0,51.682244066595814,74.4952178533475,4.564442082890542,1.5408395324123274,0.6968331562167907,0.4608289054197662
France,Aviation,2023-03-27,1.0 ~ 12.0,1.0,983.0,56.13272295693455,77.82299084435402,5.014689725330621,1.5865005086469992,0.8199796541200407,0.47428280773143433
France,Aviation,2023-03-24,1.0 ~ 12.0,1.0,1010.0,59.51166666666667,77.97029702970298,5.19630693069307,1.6328415841584158,0.8477722772277226,0.4849504950495049
France,Aviation,2023-03-18,1.0 ~ 12.0,1.0,1038.0,69.59191554271034,77.9383429672447,6.03873795761079,1.8519171483622352,0.978121387283237,0.5767437379576108
France,Aviation,2023-03-15,1.0 ~ 12.0,1.0,1044.0,74.67811302681993,77.72988505747126,6.4094348659003835,1.9417720306513409,0.9522318007662836,0.5928735632183908
France,Aviation,2023-03-12,1.0 ~ 12.0,1.0,1052.0,79.8329372623574,75.75570342205324,6.8361787072243345,2.0431368821292777,0.8716254752851711,0.5827091254752853
France,Aviation,2023-03-09,1.0 ~ 12.0,1.0,1077.0,85.32237697307335,71.62696378830083,7.225914577530177,2.1314484679665737,0.8148560817084494,0.5657753017641598
France,Aviation,2023-03-06,1.0 ~ 12.0,1.0,1082.0,88.68441158348736,67.26432532347505,7.642939001848429,2.227107208872458,0.7820609981515712,0.5771441774491681
France,Aviation,2023-03-03,1.0 ~ 12.0,1.0,1085.0,95.0826728110599,62.680460829493086,8.252488479262672,2.4233087557603685,0.7858617511520736,0.611926267281106
France,Aviation,2023-02-28,1.0 ~ 12.0,1.0,1115.0,99.83139013452914,61.28338116591928,8.54522869955157,2.578304932735426,0.8114349775784752,0.6357488789237666
France,Aviation,2023-02-25,1.0 ~ 12.0,1.0,1166.0,106.95594625500286,59.39108061749571,9.120274442538593,2.710300171526587,0.7697384219554031,0.6469554030874785
France,Aviation,2023-02-22,1.0 ~ 12.0,1.0,1239.0,116.70603981705676,57.357417271993555,9.793317191283293,2.708313155770783,0.6672639225181598,0.5873688458434222
France,Aviation,2023-02-19,1.0 ~ 12.0,1.0,1311.0,125.25072463768117,55.41617086193745,9.943783371472158,2.691952707856598,0.5039816933638445,0.46465293668955
France,Aviation,2023-02-16,1.0 ~ 12.0,1.0,1394.0,131.44795552367287,51.68680774748924,10.010523672883787,2.597281205164993,0.314519368723099,0.34546628407460545
France,Aviation,2023-02-13,1.0 ~ 12.0,1.0,1475.0,139.12009039548025,48.65637966101694,10.736318644067797,2.490291525423729,0.2207593220338983,0.2484745762711864
France,Aviation,2023-02-10,1.0 ~ 12.0,1.0,1544.0,146.44540155440416,49.4397085492228,11.722895077720207,2.4139054404145077,0.1734455958549223,0.18935233160621767
France,Aviation,2023-02-07,1.0 ~ 12.0,1.0,1580.0,150.65900843881857,51.148721518987344,12.153645569620254,2.3356329113924046,0.1666708860759494,0.17146835443037978
France,Aviation,2023-02-04,1.0 ~ 12.0,1.0,1606.0,154.63470319634703,55.41462328767123,12.390924657534248,2.2736301369863012,0.14906600249066002,0.14930261519302615
France,Aviation,2023-02-01,1.0 ~ 12.0,1.0,1588.0,155.69932829554995,72.77430100755667,14.214685138539043,2.214036523929471,0.29937657430730474,0.13025188916876573
France,Aviation,2023-01-29,1.0 ~ 12.0,1.0,1602.0,157.30539950062422,70.39385143570537,14.42292759051186,2.1608177278402,0.28001872659176036,0.11414481897627968
France,Aviation,2023-01-26,1.0 ~ 12.0,1.0,1562.0,236.4764297908664,70.26699103713187,14.738937259923174,2.168226632522407,0.2692189500640205,0.1014852752880922
France,Aviation,2023-01-23,1.0 ~ 12.0,1.0,1526.0,232.91829401485367,70.38794233289646,14.875445609436436,2.1348885976408916,0.25021625163827,0.09670380078636959
France,Aviation,2023-01-20,1.0 ~ 12.0,1.0,1476.0,224.72995709123757,71.63810975609756,16.345738482384824,2.0609281842818428,0.2278726287262873,0.08746612466124662
France,Aviation,2023-01-17,1.0 ~ 12.0,1.0,1470.0,217.04145124716553,73.22507482993198,17.49610544217687,1.9448299319727895,0.23127891156462582,0.07962925170068028
France,Aviation,2023-01-14,1.0 ~ 12.0,1.0,1460.0,208.87873287671232,74.10102739726028,17.86718493150685,1.859958904109589,0.23664383561643837,0.0711027397260274
France,Aviation,2023-01-11,1.0 ~ 12.0,1.0,1463.0,199.72975620870358,75.33860560492138,17.467108680792894,1.7733082706766918,0.2764319890635679,0.06725905673274093
France,Aviation,2023-01-08,1.0 ~ 12.0,1.0,1485.0,197.56470258136926,66.45117845117846,16.423582491582494,1.6757710437710438,0.14158922558922563,0.04328619528619528
