name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
saab_jas39c_hungary,,,,,,,97.0,55.36,1.16,2.05,0.03,0.05,,,,,,,◔JAS39EBS_HU_C
mig_29_9_12b_hungary,,,,,,,54.0,50.0,0.4,0.39,,,25.0,,,1.0,,,◔MiG-29
su_27sm,149.0,89.08,5.55,5.59,0.25,0.25,1188.0,58.94,1.75,1.88,,,70.0,,,1.54,,,Su-27SM
f_15c_msip2,182.0,74.56,3.19,3.5,0.39,0.43,942.0,52.54,1.33,1.71,0.08,0.1,,,,,,,F-15C_MSIP_II
f_15j_kai,11.0,68.75,4.69,6.38,0.38,0.38,457.0,58.11,1.77,2.5,0.1,0.11,,,,,,,F-15J(M)
saab_jas39c,4.0,50.0,1.0,2.0,,,314.0,64.87,1.62,2.25,0.33,0.46,48.0,,,0.73,,,JAS39C
mig-21_bison,22.0,,,2.68,,,955.0,59.22,1.28,1.49,0.11,0.12,24.0,,,7.0,,,MiG-21_Bison
f-4f_kws_lv,23.0,100.0,6.79,6.79,,,222.0,62.77,1.97,1.88,0.1,0.11,15.0,,,,,,◄F-4F_KWS_LV
j_11a,8.0,,,1.0,,2.0,22.0,57.14,1.5,1.3,,,,,,,,,J-11A
f_15c_baz_msip,,,,,,,4.0,37.5,1.25,2.0,,,,,,,,,Baz_Meshupar
av_8b_plus,68.0,35.8,2.65,2.26,1.34,1.17,66.0,62.38,1.67,1.49,0.3,0.19,26.0,,,,,,AV-8B_Plus
f_16a_block_15_belgium,8.0,,,0.7,,,235.0,46.75,0.73,0.76,0.35,0.33,,,,,,,F-16A
f_16am_block_15_mlu_belgium,44.0,94.05,1.15,1.1,0.1,0.08,17.0,94.44,0.5,1.0,2.22,4.44,6.0,,,,,,F-16AM
f_16a_block_15_adf_italy,38.0,100.0,13.0,6.5,1.0,0.5,101.0,62.96,1.47,1.87,0.21,0.29,12.0,,,2.0,,,F-16A_ADF
tornado_f3_late,,,,,,,7.0,,,,,,,,,,,,Tornado_F.3_Late
mig_29_9_13,5.0,,,,,,163.0,68.15,1.74,1.35,0.12,0.06,10.0,,,1.4,,,MiG-29
sea_harrier_fa2,23.0,90.91,11.54,11.54,,,13.0,100.0,1.0,1.0,,,,,,,,,Sea_Harrier_FA_2
f_16a_block_15_adf,115.0,45.43,3.18,2.35,0.47,0.37,299.0,55.6,1.34,1.38,0.02,0.02,49.0,,,3.47,,,F-16A_ADF
f_16a_block_10,131.0,53.98,1.65,1.66,0.5,0.49,287.0,32.52,1.1,0.85,0.55,0.39,17.0,,,1.0,,0.89,F-16A
f-4ej_kai,23.0,50.0,2.61,4.83,,,94.0,37.9,1.24,2.11,0.33,0.67,,,,,,,F-4EJ_Kai_Phantom_II
tornado_ids_de_mfg,24.0,75.0,0.8,0.8,5.0,5.0,112.0,74.57,0.53,0.49,1.02,0.88,,,,,,,◄Tornado_IDS_MFG
f_16a_block_20_mlu,36.0,100.0,15.0,15.0,2.0,2.0,67.0,77.74,1.96,3.23,0.08,0.19,,,,,,,F-16A_MLU_(China)
f_14a_iriaf,205.0,69.36,3.64,2.74,0.74,0.45,1222.0,48.75,1.41,1.55,0.07,0.08,38.0,,,1.2,,,F-14A_IRIAF
saab_ja37d,,,,,,,27.0,100.0,1.0,1.0,,,,,,,,,JA37D
jf_17,34.0,52.0,3.56,3.4,1.04,0.81,439.0,67.54,2.01,1.86,0.34,0.29,33.0,,,0.65,,,JF-17
j_10a,18.0,,,2.0,,,860.0,56.27,1.47,1.8,0.04,0.05,,,,,,,J-10A
f_16c_block_40_barak_2,,,,,,,130.0,80.22,1.89,1.78,0.95,0.9,,,,,,,F-16C_Barak_II
tornado_ids_de_assta1,30.0,80.0,0.6,0.6,7.4,7.4,128.0,47.2,0.02,0.02,0.79,1.09,,,,,,,◄Tornado_IDS_ASSTA1
mirage_2000d_r1,15.0,100.0,2.0,2.0,5.0,5.0,,,,,,,,,,,,,Mirage_2000D-R1
f_16a_block_10_iaf,,,,,,,,,,,,,,,,,,,Netz
tornado_ids_it_mod95,,,,,,,,,,,,,,,,,,,Tornado_IDS_(1995)
tornado_gr1,15.0,100.0,1.0,1.0,2.0,1.93,23.0,100.0,1.0,1.0,2.13,2.13,,,,,,,Tornado_GR.1
su_34,54.0,81.14,1.1,1.61,5.45,6.3,717.0,53.42,0.5,0.52,2.36,2.27,91.0,,,0.43,,0.29,Су-34
f_15e,220.0,81.88,3.02,3.09,1.13,1.14,1306.0,52.38,1.05,1.24,1.41,1.74,175.0,,,1.12,,3.73,F-15E
saab_ja37di,19.0,50.0,0.5,1.79,,,89.0,50.0,1.12,1.86,,,,,,,,,JA37DI
saab_ja37di_f21,14.0,100.0,6.0,6.0,1.0,1.0,1244.0,54.62,1.4,1.71,0.06,0.06,34.0,,,1.0,,,JA37DI_F21
f_15i_raam,34.0,50.0,5.72,3.58,,,341.0,51.77,1.38,2.04,0.83,1.23,32.0,,,0.5,,,F-15I_Ra’am
f_16aj,2.0,66.67,4.7,14.0,,,283.0,52.13,1.11,1.12,0.32,0.33,21.0,,,0.1,,,F-16AJ
