name,nation,cls,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
A-29,China,Aviation,2.3,2.0,2.0,715.0,1647.0,1532.0,False,106,50,106,110,106,120
A5M4,Japan,Aviation,1.3,1.3,1.3,324.0,911.0,886.0,False,100,20,100,80,100,120
A7He1,Japan,Aviation,2.3,2.0,2.3,600.0,1300.0,1700.0,True,212,60,212,200,212,280
Ar-2,USSR,Aviation,2.7,2.3,2.7,1322.0,2495.0,2870.0,False,118,80,118,240,118,240
B-10B,USA,Aviation,1.7,1.3,1.7,440.0,980.0,1100.0,True,200,60,200,160,200,180
B-18A,USA,Aviation,2.0,1.3,1.7,736.0,1847.0,1497.0,False,106,70,106,170,106,200
B.R.20M_M1,Italy,Aviation,1.7,1.7,1.7,670.0,1758.0,1960.0,False,106,0,106,0,106,0
B17B,Sweden,Aviation,1.3,1.3,1.3,327.0,1196.0,868.0,False,100,20,100,60,100,90
B3C,Sweden,Aviation,1.3,1.3,1.3,349.0,1110.0,973.0,False,100,20,100,80,100,90
Ba.65_(K.14)_L,Italy,Aviation,1.3,1.3,1.3,175.0,188.0,213.0,False,100,20,100,40,100,70
BB-1,USSR,Aviation,1.7,1.3,1.7,314.0,528.0,944.0,False,100,20,100,70,100,120
Beaufort_Mk_VIII,Britain,Aviation,2.0,2.0,2.3,607.0,1277.0,1391.0,False,106,70,106,170,106,220
Blenheim_Mk_IV,Britain,Aviation,2.0,2.0,1.7,457.0,915.0,1245.0,False,100,50,100,120,100,100
BR.20_DR,Italy,Aviation,1.7,1.7,1.7,449.0,1999.0,1198.0,False,100,0,100,0,100,0
Br.693AB2,France,Aviation,1.7,1.7,1.7,370.0,944.0,996.0,False,100,20,100,60,100,70
C.200_serie_3,Italy,Aviation,1.7,1.7,1.7,451.0,1204.0,1079.0,False,106,40,106,110,106,180
C.200_serie_3_(Germany),Germany,Aviation,1.7,1.7,1.7,426.0,1066.0,1644.0,False,106,30,106,120,106,180
C.200_serie_7,Italy,Aviation,1.7,2.0,2.0,464.0,1468.0,1255.0,False,106,30,106,110,106,130
C.200_serie_7_(Germany),Germany,Aviation,1.7,2.0,2.0,414.0,1217.0,2259.0,False,106,30,106,110,106,220
C.202_(Germany),Germany,Aviation,2.3,2.3,2.3,683.0,1960.0,1897.0,False,112,50,112,130,112,230
C.R.714,France,Aviation,1.3,1.3,1.3,149.0,336.0,336.0,False,100,10,100,40,100,60
Catalina_Mk_IIIa_(Great_Britain),Britain,Aviation,2.0,1.7,2.0,640.0,1500.0,1250.0,True,212,100,212,260,212,260
CR.32,Italy,Aviation,1.0,1.0,1.0,,,,False,100,10,100,20,100,110
CR.32_bis,Italy,Aviation,1.7,1.7,1.7,340.0,850.0,870.0,True,200,20,200,60,200,180
CR.32_quater,Italy,Aviation,1.0,1.0,1.0,,,,False,100,10,100,20,100,110
CR.42,Italy,Aviation,1.3,1.3,1.3,138.0,276.0,376.0,False,100,10,100,40,100,140
CR.42_(Germany),Germany,Aviation,1.3,1.3,1.3,125.0,238.0,476.0,False,100,10,100,40,100,100
CW-21,China,Aviation,1.7,2.0,1.7,379.0,1151.0,1138.0,False,100,10,100,40,100,80
D.371,France,Aviation,1.0,1.0,1.0,,,,False,100,10,100,30,100,60
D.371_H.S.9,France,Aviation,1.3,1.3,1.3,320.0,1100.0,1000.0,True,200,40,200,120,200,160
D.373,France,Aviation,1.0,1.0,1.0,,,,False,100,10,100,30,100,70
D.500,France,Aviation,1.0,1.0,1.0,,,,False,100,10,100,30,100,40
D.501,France,Aviation,1.3,1.3,1.3,199.0,735.0,710.0,False,100,20,100,60,100,130
D3A1,Japan,Aviation,1.3,1.3,1.3,327.0,516.0,868.0,False,100,20,100,80,100,130
Do_17_E-1,Germany,Aviation,1.3,1.3,1.3,201.0,75.0,302.0,False,100,30,100,90,100,100
Do_17_Z-2,Germany,Aviation,1.7,1.7,1.7,352.0,780.0,1057.0,False,100,30,100,110,100,80
Do_17_Z-7,Germany,Aviation,1.7,1.3,1.3,357.0,638.0,830.0,False,100,30,100,100,100,120
Do_217_J-1,Germany,Aviation,2.7,2.3,2.7,693.0,731.0,1412.0,False,112,70,112,200,112,330
Do_217_J-2,Germany,Aviation,2.7,2.7,3.0,693.0,1450.0,2092.0,False,112,70,112,200,112,190
F.222.2,France,Aviation,1.3,1.3,1.3,212.0,486.0,536.0,False,100,20,100,40,100,50
F1M2,Japan,Aviation,1.0,1.0,1.0,138.0,214.0,289.0,False,100,20,100,60,100,90
F2A-1,USA,Aviation,2.0,2.3,2.3,518.0,1340.0,1049.0,False,106,20,106,80,106,190
F2A-3,USA,Aviation,2.7,2.7,2.3,514.0,1330.0,1217.0,False,106,30,106,90,106,120
F3F-2,USA,Aviation,1.7,1.3,1.3,151.0,303.0,366.0,False,100,10,100,40,100,120
Flegel%27s_Bf_109_A,Germany,Aviation,1.3,1.3,1.3,190.0,360.0,350.0,True,150,40,150,120,150,260
Fury_Mk_I,Britain,Aviation,1.0,1.0,1.0,,,,False,100,10,100,50,100,110
Fury_Mk_II,Britain,Aviation,1.0,1.0,1.0,,,,False,100,10,100,50,100,80
Fw_189_A-1,Germany,Aviation,1.7,1.7,1.7,390.0,1260.0,870.0,True,200,20,200,60,200,180
G.50_AS_serie_7,Italy,Aviation,1.7,1.7,2.0,288.0,865.0,878.0,False,100,20,100,70,100,90
G.50_AS_serie_7_(Germany),Germany,Aviation,1.7,1.7,2.0,276.0,602.0,878.0,False,100,20,100,70,100,90
G.50_serie_2,Italy,Aviation,1.7,1.7,1.7,313.0,865.0,853.0,False,100,20,100,60,100,90
G.50_serie_2_(Germany),Germany,Aviation,1.7,1.7,1.7,288.0,778.0,903.0,False,100,20,100,80,100,70
Galer%27s_F3F-2,USA,Aviation,1.7,1.3,1.3,180.0,380.0,150.0,True,150,40,150,120,150,280
Gladiator_Mk_I_(China),China,Aviation,1.0,1.0,1.0,,,,False,100,10,100,20,100,60
Gladiator_Mk_II,Britain,Aviation,1.3,1.3,1.3,162.0,287.0,536.0,False,100,10,100,50,100,50
Gladiator_Mk_IIF,Britain,Aviation,1.3,1.3,1.3,162.0,386.0,399.0,False,100,20,100,60,100,90
Gladiator_Mk_IIS,Britain,Aviation,1.3,1.3,1.3,224.0,761.0,873.0,False,100,20,100,60,100,90
H-75A-1,France,Aviation,1.3,1.7,1.7,137.0,436.0,361.0,False,100,10,100,30,100,50
H-75A-4,France,Aviation,1.7,2.0,2.0,324.0,1210.0,1397.0,False,100,10,100,40,100,70
H6K4,Japan,Aviation,2.0,2.0,2.3,645.0,1340.0,1442.0,False,106,70,106,170,106,250
H8K2,Japan,Aviation,3.3,3.3,3.7,986.0,2858.0,2150.0,False,112,50,112,200,112,170
Hagiri%27s_A5M4,Japan,Aviation,1.3,1.3,1.3,170.0,390.0,230.0,True,150,40,150,120,150,200
Hampden_Mk_I,Britain,Aviation,1.7,1.7,1.7,428.0,1107.0,1259.0,False,100,30,100,90,100,110
Hampden_TB_Mk_I,Britain,Aviation,1.7,1.7,1.7,365.0,956.0,1019.0,False,100,20,100,80,100,70
Hampden_TB_Mk_I_(USSR),USSR,Aviation,1.7,1.7,2.0,530.0,1200.0,1100.0,True,212,40,212,180,212,260
Havoc_Mk_I_(Great_Britain),Britain,Aviation,2.0,2.0,2.3,470.0,920.0,1300.0,True,200,100,200,240,200,200
Hawk_H-75A-2_(Germany),Germany,Aviation,2.3,2.3,2.3,540.0,1500.0,1500.0,True,212,40,212,140,212,260
Hawk_III,China,Aviation,1.3,1.3,1.3,190.0,320.0,290.0,True,150,40,150,80,150,120
He_111_H-3,Germany,Aviation,1.7,1.7,2.3,611.0,1772.0,1547.0,False,106,40,106,120,106,130
He_112_A-0,Germany,Aviation,1.7,1.3,2.3,506.0,1025.0,580.0,False,106,40,106,130,106,270
He_112_B-0,Germany,Aviation,2.3,2.0,2.3,518.0,1163.0,1277.0,False,106,30,106,120,106,210
He_112_B-1/U2,Germany,Aviation,2.3,2.3,2.3,540.0,1110.0,710.0,True,212,60,212,240,212,300
He_112_B-2/U2,Germany,Aviation,2.3,2.3,2.3,490.0,1100.0,810.0,True,212,40,212,160,212,260
He_112_V-5,Germany,Aviation,1.3,1.3,1.7,336.0,748.0,511.0,False,100,20,100,90,100,190
He_51_A-1,Germany,Aviation,1.0,1.0,1.0,,,,False,100,10,100,50,100,90
He_51_B-1,Germany,Aviation,1.0,1.0,1.0,,,,False,100,10,100,60,100,100
He_51_B-2/H,Germany,Aviation,1.0,1.0,1.0,310.0,540.0,880.0,True,200,40,200,140,200,180
He_51_C-1,Germany,Aviation,1.0,1.0,1.0,,,,False,100,10,100,40,100,70
He_51_C-1/L,Germany,Aviation,1.0,1.0,1.0,135.0,208.0,454.0,False,100,10,100,50,100,90
Hs_123_A-1,Germany,Aviation,1.3,1.3,1.3,174.0,199.0,274.0,False,100,20,100,60,100,70
Hs_123_A-1_(China),China,Aviation,1.3,1.3,1.3,162.0,237.0,324.0,False,100,20,100,40,100,90
